film_ref	sm_comm	tfidf_comm	sm_comm_size	tfidf_comm_size	type	betweenness	description
(filmRef)18984	1	5	560	573	Type 2  vocab > structure	3.2012346116203147e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 3 Anne Lundon presents a special report about the situation of Syrian refugees in Germany.
(filmRef)N0455	4	2	93	415	Type 2  vocab > structure	3.188404011974542e-05	non-fiction Producer, Grampian Television. Shot of a man paragliding. SHOTLIST: Shot of a man paragliding.
(filmRef)17871	8	4	67	883	Type 2  vocab > structure	3.1563275128601104e-05	non-fiction Music from the Celtic Connections festival. [Source - BBC Alba]
(filmRef)17971	8	4	67	883	Type 2  vocab > structure	3.1563275128601104e-05	non-fiction Music from the Celtic Connections festival. [Source - BBC Alba]
(filmRef)21090	6	23	68	276	Type 2  vocab > structure	3.0429905493224475e-05	non-fiction Producer, Kenyon Communications. Stories and advice on health issues. Programme 4 in the series.
(filmRef)UCS0137	11	2	59	415	Type 2  vocab > structure	2.9510379185277453e-05	non-fiction Shots of vessel and commissioning ceremony. SHOTLIST: c.1955 Shots of vessel and commissioning ceremony. SRO No. 119/121
(filmRef)5307	4	2	93	415	Type 2  vocab > structure	2.83556252171579e-05	non-fiction Producer, [p.c. Templar Film Studios]. Brief shot of the North Carr lightship in the water. SHOTLIST: Brief shot of the North Carr lightship in the water (0.42).
(filmRef)UCS0048	11	2	59	415	Type 2  vocab > structure	2.7136718250809484e-05	non-fiction Record of tests in waves. SHOTLIST: MODEL CLY 902 Record of tests in waves. SRO No. 119/167
(filmRef)15544	5	29	93	677	Type 2  vocab > structure	2.7008412254351756e-05	non-fiction Producer, sp. CTG. Worship service from Clachan Church of Scotland, North Uist
(filmRef)UCS0210	11	2	59	415	Type 2  vocab > structure	2.6815953259665163e-05	non-fiction Launching of vessel. SHOTLIST: c.1964 Launching. SRO No. series 42/9 - 42/11
(filmRef)UCS0206	11	2	59	415	Type 2  vocab > structure	2.6815953259665163e-05	non-fiction Shots of dredge in yard. SHOTLIST: c.1964 Shots of dredge in yard. SRO No. series 42/22, 42/16
(filmRef)14753	1	5	560	573	Type 2  vocab > structure	2.6238576275605386e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 10 Features about Russia
(filmRef)21114	6	23	68	276	Type 2  vocab > structure	2.5917811284461065e-05	non-fiction Director, Bob Kenyon ; Producer, Kenyon Communications. Sport Quiz show, mix of games and questions for the two teams of three. Programme 10 in the series.
(filmRef)17289	1	5	560	573	Type 2  vocab > structure	2.5147975305714698e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 7 An armistice special - second world war German submariner
(filmRef)5244	4	2	93	415	Type 2  vocab > structure	2.5083822307485834e-05	non-fiction Producer, [p.c. Templar Film Studios]. The 'Devonia' ship. SHOTLIST: C/u of the Devonia Ship (0.24).
(filmRef)17286	1	5	560	573	Type 2  vocab > structure	2.322338535884878e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 5 A look at Serbia and the EU, and armed groups in Greece
(filmRef)T0366	4	2	93	415	Type 2  vocab > structure	2.309507936239105e-05	non-fiction Producer, Scottish Television. Shots of heavy traffic and Edinburgh streets SHOTLIST: No credits. Shots of heavy traffic and Edinburgh streets (3.12).
(filmRef)15545	5	29	93	677	Type 2  vocab > structure	2.2710161373017865e-05	non-fiction Producer, sp. CTG. Worship service from Kiltearn Church of Scotland in Evanton, led by Rev Donnie MacSween. Recorded in 2005. Episode 7
(filmRef)21093	6	23	68	276	Type 2  vocab > structure	2.1961709727014438e-05	non-fiction Producer, Kenyon Communications. Stories and advice on health issues. Programme 5 in the series.
(filmRef)19227	1	5	560	573	Type 2  vocab > structure	2.1747866399584905e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 1 Eòrpa is back with a new series. In the first programme, Darren Laing summarises the impact Brexit has had on the UK and the EU.
(filmRef)15959	3	7	116	370	Type 2  vocab > structure	2.10421834190674e-05	non-fiction Big cakes, and little cakes! [Source - BBC Alba] Programmes 3, 4
(filmRef)20415	1	5	560	573	Type 2  vocab > structure	2.0785571426151946e-05	non-fiction; television current affairs Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] [Subtitled] Programme 23 A look at the contentious issue of the Scottish government's plan to scrap regional and district councils, that will be replaced by single-tier authorities.
(filmRef)5232	4	2	93	415	Type 2  vocab > structure	2.0336500438549896e-05	non-fiction Producer, [p.c. Templar Film Studios]. The launch ceremony of the 'Peraki' Ship. SHOTLIST: The launch ceremony of the 'Peraki' Ship (1.43).
(filmRef)15972	3	9	116	412	Type 2  vocab > structure	1.9181746470430344e-05	non-fiction Healthy bean burgers for tea. [Source - BBC Alba] Programmes 29, 30
(filmRef)UCS0146	11	2	59	415	Type 2  vocab > structure	1.8732675482828295e-05	non-fiction Shots of tests on burning cushion. SHOTLIST: 29th Sep. 1937 Shots of tests on burning cushion. SRO No. 119/186
(filmRef)UCS0118	11	2	59	415	Type 2  vocab > structure	1.8604369486370567e-05	non-fiction 20th Feb. 1946 Shots of launching ceremony. SHOTLIST: 20th Feb. 1946 Shots of launching ceremony. SRO No. series 119/60 - 119/61
(filmRef)16226	3	11	116	256	Type 2  vocab > structure	1.8594006309733598e-05	non-fiction; television sport Series following sheepdog trials [Source - BBC Alba] Programme 1. Dunvegan.
(filmRef)16228	3	11	116	256	Type 2  vocab > structure	1.7909049682490036e-05	non-fiction; television sport Series following sheepdog trials [Source - BBC Alba] Programme 3. Kilfinan.
(filmRef)15320	1	5	560	573	Type 2  vocab > structure	1.7770380509395335e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 3 A look at the MRSA hospital bug
(filmRef)14818	1	5	560	573	Type 2  vocab > structure	1.7770380509395335e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 17 Features about the purchase of Gigha, Gibraltar, and new law in Hungary
(filmRef)15790	1	5	560	573	Type 2  vocab > structure	1.7642074512937607e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 11 Features about the future of the Western Isles health board, the German wine industry, and the abortion vote in Portugal
(filmRef)17695	1	5	560	573	Type 2  vocab > structure	1.738546252002215e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 15 Archive material on health
(filmRef)21033	6	23	68	276	Type 2  vocab > structure	1.695777586516307e-05	non-fiction Producer, Kenyon Communications. Stories and advice on health issues. Programme 6 in the series.
(filmRef)14918	5	29	93	677	Type 2  vocab > structure	1.6166555553673734e-05	non-fiction; television religion religion Producer, Media Nan Eilean. A service from Knock Free Church in Garrabost, Isle of Lewis
(filmRef)14248	5	29	93	677	Type 2  vocab > structure	1.5909943560758277e-05	non-fiction Producer, Media Nan Eilean. Religious documentary from the community of Back Free Church, Isle of Lewis.
(filmRef)16890	3	4	116	883	Type 2  vocab > structure	1.588230768209182e-05	non-fiction; television arts Country music performances and interviews [Source - BBC Alba] Programme 4
(filmRef)17672	3	11	116	256	Type 2  vocab > structure	1.5717484566071688e-05	non-fiction; television sport Series following sheepdog trials [Source - BBC Alba] Episode 2. Loch Doon.
(filmRef)UCS0122	11	2	59	415	Type 2  vocab > structure	1.4883495589096453e-05	non-fiction Shots of the vessel on trials. SHOTLIST: 13th May 1928 Shots of the vessel on trials. SRO No. 119/5
(filmRef)15318	1	5	560	573	Type 2  vocab > structure	1.4626883596180998e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 1 A look at the long journeys for kidney dialysis patients, and the architecture of Parliament buildings in Scotland and Berlin's Reichstag
(filmRef)N0435	4	9	93	412	Type 2  vocab > structure	1.4562730597952134e-05	non-fiction Producer, Grampian Television. The Trampies SHOTLIST: The Trampies
(filmRef)14283	3	29	116	677	Type 2  vocab > structure	1.4562730597952134e-05	non-fiction; television documentary Series looking at the islands of Scotland from Vatersay to South Uist.
(filmRef)5257	4	2	93	415	Type 2  vocab > structure	1.4434424601494406e-05	non-fiction Producer, [p.c. Templar Film Studios]. The 'Andania' ship. SHOTLIST: Gvs of the 'Andania' ship.
(filmRef)14575	16	4	52	883	Type 2  vocab > structure	1.3279670633374853e-05	non-fiction; television children television entertainment Producer, Scottish Television, INA, France 3, Fleurus-Tardy, Club D'Investissement Media, Tele-Hachette, Societe Radio Canada, SSR, RTBF, Centre National De La Cinematographie. The children's magazine visits Dublin to meet Irish speaking children. Plus music, sport and animated fun. Presented by Duncan McNeil, Penny MacInnes and Lynda Martin [Source - Radio Times] . Programme 4
(filmRef)14148	5	29	93	677	Type 2  vocab > structure	1.3215517635145989e-05	non-fiction Producer, Media Nan Eilean. Religious documentary from Bayhead Youth Group in Stornoway
(filmRef)16556	3	4	116	883	Type 2  vocab > structure	1.3151364636917125e-05	non-fiction; television arts Country music performances and interviews [Source - BBC Alba] Episode 2
(filmRef)5297	4	2	93	415	Type 2  vocab > structure	1.2830599645772806e-05	non-fiction Producer, [p.c. Templar Film Studios]. General views of the Claymore Ship. SHOTLIST: Gvs of the ext. of the Claymore Ship (0.55)
(filmRef)17904	1	5	560	573	Type 2  vocab > structure	1.2766446647543941e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 1 A look at development plans for Utoya Island in Norway, and baby hatch - an interesting solution to women who face crises
(filmRef)11376	7	8	67	137	Type 2  vocab > structure	1.2638140651086213e-05	Fiction Director, Catherine Elwes. Credits: digital remastering funded by Arts &amp; Humanities Research Council. Video art by Catherine Elwes
(filmRef)1032	27	13	29	183	Type 2  vocab > structure	1.2509834654628485e-05	non-fiction; advertising An advert for the Co-op's Shieldhall shoes. SHOTLIST: No credits. Advert for Shieldhall shoes (.40)
(filmRef)UCS0143	36	2	25	415	Type 2  vocab > structure	1.2381528658170756e-05	non-fiction Built and engined by John Brown &amp; Co. for Federal Steam Navigation Co. Ltd. Launch. SHOTLIST: Built and engined by John Brown &amp; Co. for Federal Steam Navigation Co. Ltd. 20th Sep. 1961 Launch by Mrs. F.E. Harmer SRO No. 119/161
(filmRef)21065	6	23	68	276	Type 2  vocab > structure	1.2124916665255301e-05	non-fiction Director, [d. Bob Kenyon] ; Producer, Kenyon Communications. Stories and advice on health issues. Programme 3 in the series. In this episode, psoriasis sufferers and improving children’s fitness.
(filmRef)5265	4	2	93	415	Type 2  vocab > structure	1.2060763667026437e-05	non-fiction Producer, [p.c. Templar Film Studios]. The launch of the 'Clan MacGowan' ship. SHOTLIST: The launch of the 'Clan MacGowan' ship, c/u of the launch path.
(filmRef)14149	5	29	93	677	Type 2  vocab > structure	1.1996610668797573e-05	non-fiction; religion television religion Producer, Media Nan Eilean. A service with Bayhead Youth Group in Stornoway [Not Subtitled]
(filmRef)N0548	4	29	93	677	Type 2  vocab > structure	1.1932457670568709e-05	non-fiction Producer, Grampian Television. General views of a Shinty match. SHOTLIST: General views of a Shinty match.
(filmRef)20067	1	5	560	573	Type 2  vocab > structure	1.1868304672339844e-05	non-fiction; television current affairs Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] [Not Subtitled] Programme 8 Featuring Donald Morrison reporting on disappearing Faroese communities.
(filmRef)16022	1	5	560	573	Type 2  vocab > structure	1.1675845677653253e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 15 Russian elections
(filmRef)T0340	4	7	93	370	Type 2  vocab > structure	1.161169267942439e-05	non-fiction Producer, Scottish Television. Scottish League Cup match between Celtic and Rangers. SHOTLIST: No credits. General shot of game in play.
(filmRef)T0497	4	2	93	415	Type 2  vocab > structure	1.161169267942439e-05	non-fiction Producer, Scottish Television. SFA offices and the officials arrive. SHOTLIST: No credits. SFA offices and the officials arrive (.30); Plus trims (1.47).
(filmRef)T0192	4	2	93	415	Type 2  vocab > structure	1.1547539681195525e-05	non-fiction Producer, Scottish Television. Shots of Scottish Television's new building under construction SHOTLIST: No credits. Shots of building under construction (2.17)
(filmRef)T1949	4	2	93	415	Type 2  vocab > structure	1.1547539681195525e-05	non-fiction Producer, STV. See shotlist below. SHOTLIST: Trims (0.04) Gvs of canoeing amongst the rapids (1.58) [Shotlisted at 24 fps]
(filmRef)15346	1	5	560	573	Type 2  vocab > structure	1.1483386682966661e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 11 The Arandora Star
(filmRef)T1883	4	2	93	415	Type 2  vocab > structure	1.1355080686508932e-05	non-fiction Producer, STV. Visuals of women modelling stylish hats SHOTLIST: Visuals of women modelling stylish hats (1.57) [Shotlisted at 24 fps]
(filmRef)16354	1	5	560	573	Type 2  vocab > structure	1.1226774690051204e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] [Subtitled] Programme 7 Reports on immigrants in Greece, Romanian and Bulgarian workers rights in the UK, and gay rights in Poland
(filmRef)UCS0176	11	2	59	415	Type 2  vocab > structure	1.1130545192707908e-05	non-fiction Shots of vessels. SHOTLIST: n.d. Shots of vessels. SRO No. 119/168
(filmRef)UCS0177	11	2	59	415	Type 2  vocab > structure	1.1130545192707908e-05	non-fiction Shots of vessels. SHOTLIST: n.d. Shots of vessels. SRO No. 119/168
(filmRef)17033	1	5	560	573	Type 2  vocab > structure	1.0970162697135749e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] [Subtitled] Programme 3 A look at freedom of media in Italy, credit unions in Govan and the Western Isles, and Silesia claims for autonomy
(filmRef)UCS0148	11	2	59	415	Type 2  vocab > structure	1.0777703702449156e-05	non-fiction Blue Star Liner. Views of ship on trials. SHOTLIST: Blue Star Liner. c. 1926 Views of ship on trials. SRO No. 119/1
(filmRef)20309	1	5	560	573	Type 2  vocab > structure	1.0713550704220292e-05	non-fiction; television current affairs Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] [Subtitled] Programme 18 Reports about German women who are choosing between children and work, two European countries to be linked by bridge, what is the price of dental health and a calm evening in Iceland
(filmRef)11234	7	8	67	137	Type 2  vocab > structure	1.0649397705991428e-05	Fiction Director, Mineo Aayamaguchi. Credits: digital remastering funded by Arts &amp; Humanities Research Council. Documentation of video performance, by Mineo Aayamaguch .
(filmRef)17328	1	5	560	573	Type 2  vocab > structure	1.0649397705991428e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] [Subtitled] Programme 10 A look at the legacy of communist era industry in Bulgaria, and road equivalent tariff in the Scottish Islands, with a trailer for 'Bliadhna nan Òran'
(filmRef)0994	27	13	29	183	Type 2  vocab > structure	1.0649397705991428e-05	non-fiction; advertising An advert for Co-op coffee. SHOTLIST: No credits. Advert for Co-op coffee Come Co-operative Shopping ; c/u bottle of Shieldhall Coffee Essence (0.17)
(filmRef)16510	14	7	55	370	Type 2  vocab > structure	1.0456938711304835e-05	non-fiction; television arts World-class musicians from the Celtic Connections festival perform at the Horo Gheallaidh ceilidh sessions. Programme 5 [Source - BBC Alba] Featuring: BODEGA, SILE DENVER, MALINKY, JAMYE STONE QUARTET, JERRY HOLLAND &amp; ROSS KENNEDY
(filmRef)14142	5	29	93	677	Type 2  vocab > structure	1.0392785713075973e-05	non-fiction; television religion religion Producer, Media Nan Eilean. A service from St Leo the Great Roman Catholic Church in Glasgow [Not Subtitled]
(filmRef)20062	1	5	560	573	Type 2  vocab > structure	1.0392785713075973e-05	non-fiction; television current affairs Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] [Not Subtitled] Programme 3 A look at how wind power is not being harnessed in the Western Isles, coastal erosion on Uist, and a studio interview with the Eurovision song contest in Ireland.
(filmRef)15085	5	29	93	677	Type 2  vocab > structure	1.0328632714847109e-05	non-fiction Producer, sp. CTG. Worship service from Uig Church of Scotland on the Isle of Lewis.
(filmRef)14851	1	5	560	573	Type 2  vocab > structure	1.0328632714847109e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 24 A review of some stories covered during the series.
(filmRef)18721	1	5	560	573	Type 2  vocab > structure	1.0264479716618245e-05	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 10 A look at the privatisation of domestic water sources in the Republic of Ireland, and the high rate of recycling and waste processing in Sweden
(filmRef)17292	1	5	560	573	Type 2  vocab > structure	9.943714725473924e-06	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 11 A look at wavering trust in Berlusconi, and orphans in Albania
(filmRef)14246	5	29	93	677	Type 2  vocab > structure	9.87956172724506e-06	non-fiction Producer, Media Nan Eilean. Religious documentary from Gardner Street Parish Church in Glasgow
(filmRef)21052	6	23	68	276	Type 2  vocab > structure	9.87956172724506e-06	non-fiction Director, Bob Kenyon ; Producer, Kenyon Communications. Stories and advice on health issues. Programme 11 in the series. In this episode, therapy to overcome phobias, heart attacks and alternative medicines.
(filmRef)16998	3	11	116	256	Type 2  vocab > structure	9.55879673610074e-06	non-fiction; television sport Series following sheepdog trials [Source - BBC Alba] Episode 1. Campbeltown.
(filmRef)14136	5	29	93	677	Type 2  vocab > structure	9.366337741414147e-06	non-fiction; television religion religion Producer, Media Nan Eilean. A Church of Scotland service from Clachan, North Uist. [Source - Radio Times] [Not Subtitled]
(filmRef)15054	1	5	560	573	Type 2  vocab > structure	9.323569075928237e-06	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 21 Features about disability
(filmRef)14838	5	29	93	677	Type 2  vocab > structure	9.173878746727555e-06	non-fiction Producer, Media Nan Eilean. A service from Inveraray.
(filmRef)17693	1	5	560	573	Type 2  vocab > structure	9.173878746727555e-06	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 13 A look at common agricultural policy, and barricades in Kosovo
(filmRef)11379	7	8	67	137	Type 2  vocab > structure	9.109725748498692e-06	Fiction Director, George Barber. Credits: digital remastering funded by Arts &amp; Humanities Research Council. Video art by George Barber.
(filmRef)17303	1	5	560	573	Type 2  vocab > structure	9.034880583898351e-06	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 22 A look at Aids in Ukraine
(filmRef)17671	3	11	116	256	Type 2  vocab > structure	8.981419752040964e-06	non-fiction; television sport Series following sheepdog trials [Source - BBC Alba] Episode 1. Comrie.
(filmRef)21143	6	23	68	276	Type 2  vocab > structure	8.981419752040964e-06	non-fiction Director, Bob Kenyon ; Producer, Kenyon Communications. Stories and advice on health issues. Programme 5 in the series. In this episode, dystonia and SAD (Seasonal Affective Disorder)
(filmRef)15227	5	29	93	677	Type 2  vocab > structure	8.981419752040964e-06	non-fiction Producer, sp. CTG. Worship service from St Columba's Church in Glasgow
(filmRef)17694	1	5	560	573	Type 2  vocab > structure	8.9172667538121e-06	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 14 A look at EU veto, African footballers in Turkey, and an anti paedophile scheme in Germany
(filmRef)21063	6	23	68	276	Type 2  vocab > structure	8.9172667538121e-06	non-fiction Director, Bob Kenyon ; Producer, Kenyon Communications. Stories and advice on health issues. Programme 10 in the series. In this episode, schizophrenia, tea and prostate cancer.
(filmRef)UCS0157	11	2	59	415	Type 2  vocab > structure	8.853113755583236e-06	non-fiction 20th Feb. 1947 Launching ceremony. SHOTLIST: 20th Feb. 1947 Launching ceremony. SRO No. series 119/60 - 119/61
(filmRef)11227	7	8	67	137	Type 2  vocab > structure	8.75688425823994e-06	Fiction Director, Mineo Aayamaguchi. Credits: digital remastering funded by Arts &amp; Humanities Research Council. Video performance, by Mineo Aayamaguchi.
(filmRef)16011	1	5	560	573	Type 2  vocab > structure	8.724807759125507e-06	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 4 A look at the new prime minister in Polance, a Norweigan island populated by prisoners, and a reduction in sheep stock in the Western Isles
(filmRef)15896	14	7	55	370	Type 2  vocab > structure	8.724807759125507e-06	non-fiction; television arts World-class musicians from the Celtic Connections festival perform at the Horo Gheallaidh ceilidh sessions. Programme 6 [Source - BBC Alba] Featuring: UNCLE EARL, JULIE FOWLIS, KRIS DREVER, SOLAS, SHOOGLENIFTY, LAU, JENNA CUMMING
(filmRef)16999	3	11	116	256	Type 2  vocab > structure	8.724807759125507e-06	non-fiction; television sport Series following sheepdog trials [Source - BBC Alba] Episode 2. Scarista.
(filmRef)20457	1	5	560	573	Type 2  vocab > structure	8.724807759125507e-06	non-fiction; television current affairs Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] [Subtitled] Programme 4 A look at Gaelic medium education, the merits of legal or official status for Gaelic language, and do professionals represent the Gaelic community?
